GRIEVABLE CATEGORIES,
Classification/SRG,76
Clothing,111
Commissary,240
Correspondence/Mail,287
Employment,139
Environmental,516
Food,463
Person in Custody Account,114
Jail Time,44
Language Access,0
Laundry,55
Law Library,121
"Medical(DOC RELATED & H&H RELATED)","1,670"
Mental Health,198
Personal Hygiene,137
Phone,73
Programs,80
Property,211
Recreation,129
Religion,112
Rules & Regulation,3
School,2
Search,57
Social Services,47
Tablet,217
Transportation,27
Visit,184
Other Request,"1,478"
