GRIEVABLE CATEGORIES,
Classification/SRG,43
Clothing,61
Commissary,193
Correspondence/Mail,387
Employment,183
Environmental,919
Food,304
Inmate Account,194
Jail Time,25
Language Access,0
Laundry,47
Law Library,124
"Medical(DOC RELATED & H&H RELATED)",1612
Mental Health,285
Personal Hygiene,133
Phone,58
Programs,84
Property,160
Recreation,154
Religion,26
Rules & Regulations,4
School,0
Search,19
Social Services,106
Tablet,0
Transportation,15
Visit,241
Other Request,352
