GRIEVABLE CATEGORIES,
Classification/SRG,24
Clothing,52
Commissary,97
Correspondence/Mail,314
Employment,160
Environmental,648
Food,306
Person in Custody Account,223
Jail Time,18
Language Access,0
Laundry,17
Law Library,125
"Medical(DOC RELATED & H&H RELATED)",1965
Mental Health,298
Personal Hygiene,74
Phone,72
Programs,89
Property,165
Recreation,109
Religion,33
Rules & Regulations,3
School,2
Search,16
Social Services,44
Tablet,0
Transportation,13
Visit,162
Other Request,416
