GRIEVABLE CATEGORIES,
Classification/SRG,31
Clothing,59
Commissary,430
Correspondence/Mail,245
Employment,112
Environmental,321
Food,242
Person in Custody Account,158
Jail Time,38
Language Access,0
Laundry,29
Law Library,121
"Medical(DOC RELATED & H&H RELATED)","1,456"
Mental Health,239
Personal Hygiene,113
Phone,29
Programs,69
Property,171
Recreation,160
Religion,66
Rules & Regulations,0
School,6
Search,36
Social Services,69
Tablet,47
Transportation,23
Visit,157
Other Request,541
