GRIEVABLE CATEGORIES,
Classification/SRG,32
Clothing,40
Commissary,166
Correspondence/Mail,501
Employment,99
Environmental,625
Food,357
Incarcerated Individual Account,223
Jail Time,17
Language Access,0
Laundry,55
Law Library,190
"Medical(DOC RELATED & H&H RELATED)",2208
Mental Health,318
Personal Hygiene,138
Phone,57
Programs,151
Property,171
Recreation,128
Religion,62
Rules & Regulations,2
School,3
Search,3
Social Services,74
Tablet,0
Transportation,18
Visit,312
Other Request,466
