GRIEVABLE CATEGORIES,
Classification/SRG,75
Clothing,95
Commissary,384
Correspondence/Mail,336
Employment,165
Environmental,842
Food,518
Person in Custody Account,186
Jail Time,43
Language Access,2
Laundry,86
Law Library,145
"Medical(DOC RELATED & H&H RELATED)","2,255"
Mental Health,425
Personal Hygiene,172
Phone,52
Programs,129
Property,234
Recreation,254
Religion,162
Rules & Regulations,1
School,7
Search,54
Social Services,88
Tablet,146
Transportation,39
Visit,238
Other Request,"2,443"
