GRIEVABLE CATEGORIES,
Classification/SRG,69
Clothing,71
Commissary,352
Correspondence/Mail,300
Employment,153
Environmental,560
Food,416
Person in Custody Account,218
Jail Time,53
Language Access,0
Laundry,41
Law Library,99
"Medical(DOC RELATED & H&H RELATED)","1,956"
Mental Health,403
Personal Hygiene,150
Phone,52
Programs,73
Property,200
Recreation,140
Religion,165
Rules & Regulations,2
School,2
Search,68
Social Services,63
Tablet,134
Transportation,33
Visit,192
Other Request,"1,568"
