GRIEVABLE CATEGORIES,
Classification/SRG,62
Clothing,117
Commissary,307
Correspondence/Mail,428
Employment,197
Environmental,718
Food,442
Person in Custody Account,126
Jail Time,52
Language Access,2
Laundry,96
Law Library,187
"Medical(DOC RELATED & H&H RELATED)","2,215"
Mental Health,332
Personal Hygiene,183
Phone,57
Programs,105
Property,172
Recreation,194
Religion,120
Rules & Regulation,10
School,8
Search,95
Social Services,76
Tablet,197
Transportation,24
Visit,208
Other Request,"1,917"
