GRIEVABLE CATEGORIES,
Classification/SRG,67
Clothing,54
Commissary,303
Correspondence/Mail,310
Employment,184
Environmental,507
Food,342
Person in Custody Account,250
Jail Time,55
Language Access,0
Laundry,48
Law Library,139
"Medical(DOC RELATED & H&H RELATED)","2,046"
Mental Health,344
Personal Hygiene,162
Phone,53
Programs,43
Property,191
Recreation,108
Religion,98
Rules & Regulations,0
School,11
Search,70
Social Services,89
Tablet,30
Transportation,26
Visit,216
Other Request,678
