GRIEVABLE CATEGORIES,
Classification/SRG,47
Clothing,52
Commissary,345
Correspondence/Mail,415
Employment,144
Environmental,484
Food,400
Person in Custody Account,183
Jail Time,74
Language Access,0
Laundry,42
Law Library,189
"Medical(DOC RELATED & H&H RELATED)","1,992"
Mental Health,374
Personal Hygiene,210
Phone,56
Programs,61
Property,210
Recreation,123
Religion,139
Rules & Regulations,1
School,4
Search,82
Social Services,73
Tablet,106
Transportation,29
Visit,224
Other Request,"1,613"
